Gene	Accession No.	Species
AK	FJ042262	Scaptotrigona tricolorata
AK	FJ042269	Scaura latitarsis
AK	FJ042267	Scaura longula
AK	FJ042268	Scaura tenuis
AK	FJ042270	Schwarziana quadripunctata
AK	FJ042272	Schwarzula coccidophila
AK	FJ042271	Schwarzula timida
AK	DQ813064	Sundatrigona moorei
AK	FJ042281	Tetragona clavipes
AK	FJ042284	Tetragona dissecta
AK	FJ042283	Tetragona goettei
AK	FJ042286	Tetragona perangulata
AK	FJ042282	Tetragona sp. CR-2009
AK	FJ042285	Tetragona ziegleri
AK	DQ813072	Tetragonilla atripes
AK	DQ813075	Tetragonilla collina
AK	DQ813073	Tetragonilla fuscibasis
AK	DQ813074	Tetragonilla rufibasalis
AK	DQ813076	Tetragonisca angustula
AK	FJ042279	Tetragonisca weyrauchi
AK	DQ813083	Tetragonula carbonaria
AK	DQ813102	Tetragonula cf. iridipennis CR-2006
AK	DQ813085	Tetragonula cf. laeviceps CR-2006
AK	DQ813098	Tetragonula cf. pagdeni CR-2006
AK	DQ813080	Tetragonula clypearis
AK	DQ813096	Tetragonula fuscobalteata
AK	DQ813079	Tetragonula geissleri
AK	DQ813090	Tetragonula hirashimai
AK	DQ813084	Tetragonula hockingsi
AK	DQ813092	Tetragonula laeviceps
AK	DQ813093	Tetragonula melanocephala
AK	DQ813097	Tetragonula melina
AK	DQ813081	Tetragonula mellipes
AK	DQ813089	Tetragonula minor
AK	DQ813077	Tetragonula pagdeni
AK	DQ813087	Tetragonula sapiens
AK	DQ813094	Tetragonula sarawakensis
AK	DQ813088	Tetragonula sirindhornae
AK	DQ813100	Tetragonula sp. A CR-2006
AK	DQ813101	Tetragonula sp. B CR-2006
AK	DQ813099	Tetragonula zucchi
AK	DQ813065	Tetrigona apicalis
AK	DQ813067	Tetrigona binghami
AK	DQ813066	Tetrigona melanoleuca
AK	FJ042280	Trichotrigona extranea
AK	EU049755	Trigona albipennis
AK	DQ813070	Trigona amalthea
AK	DQ813071	Trigona amazonensis
AK	EU049756	Trigona cf. fuscipennis CR-2007a
AK	EU049767	Trigona cf. fuscipennis CR-2007b
AK	EU049754	Trigona cf. recursa CR-2007
AK	EU049748	Trigona chanchamayoensis
AK	EU049749	Trigona cilipes
AK	EU049760	Trigona corvina
AK	EU049751	Trigona crassipes
AK	EU049753	Trigona dallatorreana
AK	EU049762	Trigona fulviventris
AK	EU049759	Trigona fuscipennis
AK	DQ813069	Trigona guianae
AK	EU049768	Trigona hyalinata
AK	EU049764	Trigona hypogea
AK	EU049750	Trigona lacteipennis
AK	EU049761	Trigona nigerrima
AK	EU049752	Trigona pallens
AK	EU049765	Trigona recursa
AK	EU049757	Trigona silvestriana
AK	EU163022	Trigona sp. MP109
AK	EU049766	Trigona spinipes
AK	EU049758	Trigona truculenta
AK	EU049763	Trigona williana
AK	FJ042277	Trigonisca bidentata
AK	FJ042276	Trigonisca buyssoni
AK	FJ042278	Trigonisca nataliae
AK	FJ042273	Trigonisca sp. A CR-2009
AK	FJ042274	Trigonisca sp. B CR-2009
AK	FJ042275	Trigonisca sp. C CR-2009
AK	DQ813068	Trigonisca townsendi
AK	AY267179	Xylocopa amamensis
bub3	EU184823	Apis cerana
bub3	EU184822	Apis dorsata
bub3	EU184821	Apis florea
bub3	XM393536	Apis mellifera
bub3	EU184816	Bombus ardens
bub3	EU184817	Bombus diversus
bub3	XM003393212	Bombus terrestris
bub3	EU184819	Cephalotrigona capitata
bub3	EU980039	Dactylurina staudingeri
bub3	EU980040	Dolichotrigona chachapoya
bub3	EU980041	Hypotrigona ruspolii
bub3	EU980042	Lepidotrigona ventralis
bub3	EU980043	Liotrigona madecassa
bub3	EU980044	Lisotrigona furva
bub3	EU980045	Melipona grandis
bub3	EU184820	Meliponula bocandei
bub3	EU980046	Odontotrigona haematoptera
bub3	EU980047	Plebeia sp. A CR-2009
bub3	EU980048	Scaptotrigona tricolorata
bub3	EU980052	Tetragonula fuscobalteata
bub3	EU980049	Tetrigona binghami
bub3	EU980051	Trigona amazonensis
bub3	EU184818	Trigona fuscipennis
bub3	EU980050	Trigonisca sp. A CR-2009
cad	HQ995847	Afranthidium karooense
cad	HQ995902	Afroheriades primus
cad	EU851428	Afroheriades sp. CJP-2008
cad	HQ995844	Aglaoapis tridentata
cad	DQ067117	Anacrabro ocellatus
cad	DQ067126	Andrena brooksi
cad	DQ067127	Andrena nasonii
cad	HQ995848	Anthidium illustre
cad	DQ067197	Anthidium oblongatum
cad	EU851420	Anthidium punctatum
cad	HQ995849	Anthodioctes mapirensis
cad	EU184808	Apis cerana
cad	EU184807	Apis dorsata
cad	EU184806	Apis florea
cad	DQ067178	Apis mellifera
cad	EU851431	Ashmeadiella aff. gillettei CJP-2008
cad	HQ995903	Ashmeadiella aridula
cad	EU851432	Ashmeadiella holtii
cad	EU851429	Ashmeadiella timberlakei
cad	EU851433	Ashmeadiella xenomastax
cad	HQ995850	Aspidosmia arnoldi
cad	HQ995851	Aspidosmia volkmanni
cad	EU851437	Atoposmia aff. daleae CJP-2008
cad	EU851439	Atoposmia copelandica
cad	EU851434	Atoposmia elongata
cad	EU851435	Atoposmia hebitis
cad	HQ995904	Atoposmia mirifica
cad	EU851438	Atoposmia timberlakei
cad	HQ995852	Bathanthidium binghami
cad	DQ067116	Bembix dentilabris
cad	HQ995853	Benanthis madagascariensis
cad	EU184803	Bombus ardens
cad	EU184804	Bombus diversus
cad	EU122058	Bombus pascuorum
cad	XM003400133	Bombus terrestris
cad	DQ067130	Calliopsis anthidia
cad	DQ067129	Calliopsis pugionis
cad	GU945209	Capicola hantamensis
cad	DQ067141	Caupolicana vestita
cad	EU184805	Cephalotrigona capitata
cad	DQ067190	Ceratina calcarata
cad	EU851442	Chelostoma aureocinctum
cad	EU863099	Chelostoma bytinskii
cad	EU851443	Chelostoma californicum
cad	EU851444	Chelostoma campanularum
cad	EU863100	Chelostoma cockerelli
cad	EU863090	Chelostoma diodon
cad	EU863101	Chelostoma distinctum
cad	EU863091	Chelostoma edentulum
cad	EU863092	Chelostoma emarginatum
cad	HQ995905	Chelostoma florisomne
cad	EU863102	Chelostoma foveolatum
cad	DQ067192	Chelostoma fuliginosum
cad	EU863093	Chelostoma grande
cad	EU863103	Chelostoma hellenicum
cad	EU863104	Chelostoma incisulum
cad	EU851440	Chelostoma lamellum
cad	EU863105	Chelostoma laticaudum
cad	EU863106	Chelostoma marginatum incisuloides
cad	EU863107	Chelostoma minutum
cad	EU863094	Chelostoma mocsaryi
cad	EU863095	Chelostoma nasutum
cad	EU863108	Chelostoma phaceliae
cad	EU851446	Chelostoma philadelphi
cad	EU851445	Chelostoma rapunculi
cad	EU863096	Chelostoma sp. 2 CJP-2008
cad	EU863097	Chelostoma sp. 3 CJP-2008
cad	EU863109	Chelostoma styriacum
cad	EU863098	Chelostoma transversum
cad	EU863110	Chelostoma ventrale
cad	DQ067146	Chilimelissa rozeni
cad	DQ067115	Clitemnestra bipunctata
cad	DQ067123	Clypeadon haigi
cad	DQ067193	Coelioxys afra
cad	DQ067139	Colletes inaequalis
cad	DQ067140	Colletes skinneri
cad	DQ067157	Conanthalictus conanthi
cad	EU122060	Ctenoplectra albolimbata
