,Superfamily,Tag,Region,Country,Measurement,Locality,Location,Latitude,Longitude,Pres.time,Col.date,Plant,Col.method,Family,Subfamily,Tribe,Genus,Subgenus,Species,Sex,Weight,Pin.wgt,Spec.wgt,IT,IT_cor_65,IT_cor,BL,Bl_cor
80,Apoidea,SpainBF643,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Megachilidae,Megachilinae,Osmiini,Hoplitis,NA,Hoplitis_adunca,Male,NA,NA,-4.098352584,1.131402111,3.1,3.1,9.26,9.26
81,Apoidea,SpainBF66,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Halictidae,Halictinae,Halictini,Lasioglossum,NA,Lasioglossum_imminutus,Female,NA,NA,-4.193060535,0.357674444,1.43,1.43,8.82,8.82
82,Apoidea,SpainBF690,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Megachilidae,Megachilinae,Osmiini,Heriades,NA,Heriades_crenulatus,Female,NA,NA,-5.067205646,0.565313809,1.76,1.76,6.93,6.93
83,Apoidea,SpainBF91,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Halictidae,Rophitinae,Rophitini,Systropha,NA,Systropha_planidens,Male,NA,NA,-3.937340813,0.862889955,2.37,2.37,11.23,11.23
84,Apoidea,SpainBF98,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Halictidae,Rophitinae,Rophitini,Systropha,NA,Systropha_planidens,Male,NA,NA,-4.791499764,0.891998039,2.44,2.44,9.8,9.8
275,Apoidea,ALLO-AUS-01,Australasia,Australia,LK,COFFS,COFFSRoadside weeds,-30,153.15,0,11/5/17,Bidens pilosa,Hand,Apidae,Xylocopinae,Allodapini,Exoneura,Exoneura,Exoneura_bicolor,Female,0.0683,0.067166,-6.782004074,0.251937012,1.286515,1.212991312,8.869,5.447098705
276,Apoidea,ALLO-AUS-02,Australasia,Australia,LK,COFFS,COFFSGrays Road,-29.94,153.13,0,11/5/17,Vaccinium,Hand,Apidae,Apinae,Meliponini,Tetragonula,Tetragonula,Tetragonula_carbonaria,Female,0.0694,0.067166,-6.103961578,0.09491301,1.0995632,1.036723713,5.733,3.521052754
277,Apoidea,ALLO-AUS-03,Australasia,Australia,LK,COFFS,COFFSGrays Road,-29.94,153.13,0,11/5/17,Bidens pilosa,Hand,Halictidae,Halictinae,Halictini,Lasioglossum,Chilalictus,Lasioglossum_lanarium,Female,0.0766,0.067166,-4.663435094,0.692394497,1.9984952,1.884282199,12.608,7.743490864
278,Apoidea,ALLO-AUS-04,Australasia,Australia,LK,COFFS,COFFSRoadside weeds,-30,153.15,0,11/5/17,Bidens pilosa,Hand,Apidae,Apinae,Meliponini,Austroplebeia,Austroplebeia,Austroplebeia_australis,Female,0.0689,0.067166,-6.357324401,0.455549292,1.5770394,1.486912388,6.931,4.256831788
279,Apoidea,ALLO-AUS-05,Australasia,Australia,LK,COFFS,COFFSRoadside weeds,-30,153.15,0,11/5/17,Bidens pilosa,Hand,Apidae,Xylocopinae,Allodapini,Exoneura,Exoneura,Exoneura_bicolor,Female,0.0692,0.067166,-6.197750981,0.373370199,1.452622,1.36960538,9.476,5.819901604
280,Apoidea,ALLO-AUS-09,Australasia,Australia,LK,COFFS,COFFSRoadside weeds,-30,153.15,0,11/5/17,Bidens pilosa,Hand,Halictidae,Halictinae,Halictini,Lasioglossum,Chilalictus,Lasioglossum_lassp1,Male,0.0699,0.067166,-5.901989541,0.44349845,1.5581488,1.469101376,9.422,5.786736272
281,Apoidea,ALLO-AUS-11,Australasia,Australia,LK,COFFS,COFFSRoadside weeds,-30,153.15,0,15/5/17,Bidens pilosa,Hand,Apidae,Apinae,Anthophorini,Amegilla,Zonamegilla,Amegilla_pulchra,Female,0.1088,0.067166,-3.178838138,1.295919333,3.654354,3.445509498,19.909,12.22756659
282,Apoidea,ALLO-AUS-12,Australasia,Australia,LK,COFFS,COFFSRoadside weeds,-30,153.15,0,15/5/17,Bidens pilosa,Hand,Apidae,Apinae,Anthophorini,Amegilla,Zonamegilla,Amegilla_asserta,Female,0.0971,0.067166,-3.508760321,1.243405668,3.4674022,3.2692419,16.766,10.29722143
283,Apoidea,ALLO-AUS-15,Australasia,Australia,LK,COFFS,COFFSRoadside weeds,-30,153.15,0,15/5/17,Bidens pilosa,Hand,Apidae,Xylocopinae,Allodapini,Braunsapis,Braunsapis,Braunsapis_brasp3,Female,0.0704,0.067166,-5.734035518,0.5272646,1.6942914,1.597463494,10.559,6.485050764
284,Apoidea,ALLO-AUS-16,Australasia,Australia,LK,COFFS,COFFSRoadside S4?,-30.02,153.12,0,11/5/17,NA,Vane,Halictidae,Halictinae,Halictini,Homalictus,Homalictus,Homalictus_urbanus,Male,5.00E-04,0,-7.60090246,-0.11455084,0.8917666,0.840802585,5.484,3.368123723
285,Apoidea,ALLO-AUS-19,Australasia,Australia,LK,COFFS,COFFSS1S,-30.01,153.15,0,11/5/17,Pultanea,Hand,Megachilidae,Megachilinae,Megachilini,Megachile,Eutricharaea,Megachile_maculariformis,Male,0.0924,0.067166,-3.679562987,1.21945015,3.3853258,3.191856125,15.888,9.757977701
286,Apoidea,ALLO-AUS-20,Australasia,Australia,LK,COFFS,COFFSS1S,-30.01,153.15,0,11/5/17,Pultanea,Hand,Megachilidae,Megachilinae,Megachilini,Megachile,Eutricharaea,Megachile_maculariformis,Male,0.0888,0.067166,-3.833489128,1.204132352,3.3338652,3.143336472,15.803,9.705773011
287,Apoidea,ALLO-AUS-23,Australasia,Australia,LK,COFFS,COFFSRoadside Tunnels,-30.02,153.12,0,11/5/17,Pultanea,Hand,Halictidae,Halictinae,Halictini,Homalictus,Homalictus,Homalictus_urbanus,Female,0.0018,0,-6.319968614,-0.025836507,0.9744944,0.918802533,7.055,4.332989217
288,Apoidea,ALLO-AUS-24,Australasia,Australia,LK,COFFS,COFFSS1S,-30.01,153.15,0,11/5/17,Pultanea,Hand,Megachilidae,Megachilinae,Megachilini,Megachile,Eutricharaea,Megachile_maculariformis,Male,0.088,0.067166,-3.871169011,1.139567778,3.1254172,2.946801171,15.225,9.350781124
289,Apoidea,ALLO-AUS-25,Australasia,Australia,LK,COFFS,COFFSRoadside Weeds,-30,153.15,0,11/5/17,Bidens pilosa,Hand,Apidae,Xylocopinae,Allodapini,Exoneura,Exoneura,Exoneura_bicolor,Female,0.0703,0.067166,-5.765445135,0.384075029,1.4682556,1.384345527,10.517,6.459255506
290,Apoidea,ALLO-AUS-26,Australasia,Australia,LK,COFFS,COFFSGrays Road,-29.94,153.13,0,11/5/17,NA,Vane,Halictidae,Halictinae,Halictini,Lasioglossum,Chilalictus,Lasioglossum_lassp1,Male,0.0699,0.067166,-5.901989541,0.363908538,1.4389426,1.356707751,8.747,5.372169622
291,Apoidea,ALLO-AUS-27,Australasia,Australia,LK,COFFS,COFFSGrays Road,-29.94,153.13,0,11/5/17,NA,Vane,Halictidae,Halictinae,Halictini,Lasioglossum,Chilalictus,Lasioglossum_lanarium,Female,0.073,0.067166,-5.144052408,0.558304185,1.7477062,1.647825665,11.688,7.178451873
292,Apoidea,ALLO-AUS-31,Australasia,Australia,LK,COFFS,COFFSRoadside Tunnels,-30.02,153.12,0,11/5/17,Bidens pilosa,Hand,Apidae,Xylocopinae,Allodapini,Exoneura,Exoneura,Exoneura_bicolor,Female,0.0702,0.067166,-5.797873398,0.195165716,1.2155124,1.146046475,8.994,5.523870307
