Reference,Source,Region,Location,Social_three,Social_strict,Nesting,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,IT,Spec.wgt,Type,N,Mean,Median,Max,VAR,VAR.TYPE,NOTES
Dramstad (1996),GL07_S3,Europe,NA,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Melanobombus,Bombus_lapidarius,4,NA,MR,,300,,,,,
Gathmann and Tscharntke (2002) - Wesserling (1996),GL07_S3,Europe,Germany,AG,ES,Soil,Apoidea,Colletidae,Colletinae,Colletini,Colletes,,Colletes_cunicularius,4,NA,N_S,,400,,,,,
Knight et al. (2005),GL07_S3,Europe,NA,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Melanobombus,Bombus_lapidarius,4.1,NA,M,,1300,,,,,
Walther-Hellwig and Frankl (2000a),GL07_S3,Europe,NA,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Melanobombus,Bombus_lapidarius,4.1,NA,MR,,1500,,,,,
Walther-Hellwig and Frankl (2000b),GL07_S3,Europe,NA,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Melanobombus,Bombus_lapidarius,4.1,NA,MR,,1500,,,,,
Fabre (1914),GL07_S3,Europe,NA,SO,SO,Cavity,Apoidea,Megachilidae,Megachilinae,Megachilini,Megachile,,Megachile_sicula,4.3,NA,H,,4000,,,,,
Redhead et al. (2016),NEW,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,,Bombus_pascuorum,4.37,NA,M,548,337,,1808,19.92,SE,
Fabre (1914),GL07_S3,Europe,NA,SO,SO,Cavity,Apoidea,Megachilidae,Megachilinae,Megachilini,Megachile,,Megachile_parietina,4.5,NA,H,,4000,,,,,
Redhead et al. (2016),NEW,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,,Bombus_lapidarius,4.54,NA,M,1171,536,,2059,16.02,SE,
Redhead et al. (2016),NEW,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,,Bombus_hortorum,4.84,NA,M,262,273,,810,20.15,SE,
C. O’Toole (personal communication 7/14/04),GL07_S3,Europe,UK,AG,SO,Soil,Apoidea,Apidae,Apinae,Anthophorini,Anthophora,,Anthophora_fulvitarsis,4.9,NA,PM,,1000,,,,,
Knight et al. (2005),GL07_S3,Europe,NA,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,,Bombus_pratorum,5.1,NA,M,,1500,,,,,
Knight et al. (2005),GL07_S3,Europe,NA,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Thoracobombus,Bombus_pascuorum,5.2,NA,M,,1500,,,,,
Knight et al. (2005),GL07_S3,Europe,NA,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Thoracobombus,Bombus_pascuorum,5.2,NA,M,,1500,,,,,
Darvill et al. (2004),GL07_S3,Europe,NA,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Thoracobombus,Bombus_pascuorum,5.2,NA,M,,10000,,,,,
Redhead et al. (2016),NEW,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,,Bombus_terrestris,5.56,NA,M,382,551,,2878,39.83,SE,
Redhead et al. (2016),NEW,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,,Bombus_ruderatus,5.58,NA,M,214,503,,2350,33.71,SE,
"Rau (1929, 1931)",GL07_S1,NorthAmerica,USA,AG,SO,Cavity,Apoidea,Apidae,Xylocopinae,Xylocopini,Xylocopa,,Xylocopa_virginica,5.6,NA,H,,7500,,13000,,,
C. O’Toole (PC_2004),GL07_S3,Asia,NA,AG,SO,Cavity,Apoidea,Apidae,Xylocopinae,Xylocopini,Xylocopa,,Xylocopa_rufa,5.8,NA,NPA,,1000,,,,,
Gathmann and Tscharntke (2002) - Molitor (1937),GL07_S3,Europe,Germany,AG,SO,Cavity,Apoidea,Apidae,Xylocopinae,Xylocopini,Xylocopa,,Xylocopa_violacea,7.8,NA,N_S,,1200,,,,,
Beil et al. (2008),Z2010_T1,Europe,Germany,AG,ES,Soil,Apoidea,Andrenidae,Andreninae,Andrenini,Andrena,,Andrena_carbonaria,NA,NA,PM,1,,,1250,,,
Beil et al. (2008),Z2010_T1,Europe,Germany,AG,SO,Soil,Apoidea,Andrenidae,Andreninae,Andrenini,Andrena,,Andrena_dorsata,NA,NA,PM,1,,,650,,,
Franzén et al. (2009),NEW,Europe,Sweden,SO,SO,Soil,Apoidea,Andrenidae,Andreninae,Andrenini,Andrena,,Andrena_hattorfiana,NA,NA,MR,104,33,52,83,,,
Franzén et al. (2009),NEW,Europe,Sweden,SO,SO,Soil,Apoidea,Andrenidae,Andreninae,Andrenini,Andrena,,Andrena_hattorfiana,NA,NA,MR,171(57RC),58,76,130,,,
Franzén et al. (2009),NEW,Europe,Sweden,SO,SO,Soil,Apoidea,Andrenidae,Andreninae,Andrenini,Andrena,,Andrena_hattorfiana,NA,NA,MR,(720(270),119,131,900,,,
Franzen et al. (2009),Z2010_T1,Europe,,SO,SO,Soil,Apoidea,Andrenidae,Andreninae,Andrenini,Andrena,,Andrena_hattorfiana,NA,NA,MR,270,,,130,,,
Schneider (1989),NEW,NorthAmerica,USA,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera scutellata,NA,NA,WG,65,207,220,,209,SD,
Schneider (1989),NEW,NorthAmerica,USA,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera scutellata,NA,NA,WG,60,255,242,,110,SD,
Schneider (1989),NEW,NorthAmerica,USA,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera scutellata,NA,NA,WG,45,351,343,,165,SD,
