Superfamily,Tag,Region,Country,Locality,Location,Latitude,Longitude,Pres.time,Col.date,Plant,Col.method,Family,Subfamily,Tribe,Genus,Subgenus,Species,Sex,Weight,Pin.wgt,Spec.wgt,IT,BL,ITxBL
Apoidea,ALLO-GER-556,Europe,Germany,Dipbach,Dipbach,10.124092,49.906236,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0635,0.036904,0.026596,3.709,17.687,65.601083
Apoidea,ALLO-GER-557,Europe,Germany,Prosselsheim4,Prosselsheim4,10.113375,49.850392,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0576,0.036904,0.020696,3.479,16.906,58.815974
Apoidea,ALLO-GER-558,Europe,Germany,Dipbach,Dipbach,10.124092,49.906236,NA,2/6/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0827,0.036904,0.045796,4.678,22.206,103.879668
Apoidea,ALLO-GER-559,Europe,Germany,Prosselsheim4,Prosselsheim4,10.113375,49.850392,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0476,0.036904,0.010696,3.212,14.986,48.135032
Apoidea,ALLO-GER-560,Europe,Germany,Bergtheim3,Bergtheim3,10.057294,49.902308,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Male,0.0421,0.036904,0.005196,2.394,11.935,28.57239
Apoidea,ALLO-GER-561,Europe,Germany,Rieden1,Rieden1,10.040881,49.937356,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0434,0.036904,0.006496,2.711,14.238,38.599218
Apoidea,ALLO-GER-562,Europe,Germany,Opferbaum3,Opferbaum3,10.067944,49.912992,NA,16/6/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0619,0.036904,0.024996,3.736,16.647,62.193192
Apoidea,ALLO-GER-563,Europe,Germany,Opferbaum3,Opferbaum3,10.067944,49.912992,NA,2/6/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0572,0.036904,0.020296,3.918,16.052,62.891736
Apoidea,ALLO-GER-564,Europe,Germany,Prosselsheim4,Prosselsheim4,10.113375,49.850392,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0739,0.036904,0.036996,4.721,19.527,92.186967
Apoidea,ALLO-GER-565,Europe,Germany,Prosselsheim1,Prosselsheim1,10.135947,49.868039,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0819,0.036904,0.044996,4.879,21.722,105.981638
Apoidea,ALLO-GER-566,Europe,Germany,Hausen1,Hausen1,10.022767,49.938633,NA,2/6/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0525,0.036904,0.015596,3.699,16.529,61.140771
