ID,Country,Spec.wgt,IT,Ancho_cabeza_mm,BL,Notes,Pollinator_sex,Pollinator_gen_sp,Taxa,Family,Subfamily,Tribe,Genus,Subgenus,Species
BF660,Spain,0.0289,2.56,3.74,14.06,NA,worker,Polistes dominula,Wasp,,,,Polistes,NA,dominula
BF661,Spain,0.2013,4.19,5.21,29,NA,Male,Megascolia maculata,Wasp,,,,Megascolia,NA,maculata
BF662,Spain,0.6304,6.62,8.41,38,NA,Female,Megascolia maculata,Wasp,,,,Megascolia,NA,maculata
BF664,Spain,0.0147,2.51,3.06,10.39,NA,Female,Bembecinus carpetanus,Wasp,,,,Bembecinus,NA,carpetanus
BF667,Spain,0.0307,2.29,3.05,12.39,NA,Female,Colpa quinquecincta,Wasp,,,,Colpa,NA,quinquencincta
BF668,Spain,0.0221,2.22,2.71,11.88,NA,Male,Scolia hortorum,Wasp,,,,Scolia,NA,hortorum
BF669,Spain,0.0017,1.1,1.7,5.28,NA,NA,Ancistrocerus gazella,Wasp,,,,Ancistrocerus,NA,gazella
BF670,Spain,0.0047,1.69,1.65,7.57,NA,Male,Lestica clypeata,Wasp,,,,Lestica,NA,clypeata
BF675,Spain,0.0176,1.38,3.09,20.59,NA,Female,Ammophila heydeni,Wasp,,,,Ammophila,NA,heydeni
BF676,Spain,0.0123,1.75,2.39,10.02,NA,Female,Eumenes coarctatus,Wasp,,,,Eumenes,NA,coarctatus
BF680,Spain,0.0064,0.91,1.25,7.33,NA,NA,Ichneumonidae morpho1,Wasp,,,,Ichneumonidae,NA,morph1
BF681,Spain,0.0081,1.38,2.16,7.61,NA,NA,Cerceris morpho1,Wasp,,,,Cerceris,NA,morph1
BF687,Spain,0.0133,1.97,2.41,8.59,NA,Female,Eodynerus posticus,Wasp,,,,Eodynerus,NA,posticus
BF689,Spain,0.0052,1.4,2.04,7.37,NA,Male,Tachysphex denisi,Wasp,,,,Tachysphex,NA,denisi
BF690,Spain,0.0063,1.76,2.22,6.93,NA,NA,Cerceris morpho1,Wasp,,,,Cerceris,NA,morph1
BF693,Spain,0.0166,1.98,2.68,10.33,NA,Female,Ancistrocerus biphaleratus,Wasp,,,,Ancistrocerus,NA,biphaleratus
