"","Family","Tribe","Country","Measurer","Subfamily","Genus","Species","Sex","Latitude","Spec.wgt","Wgt.SD","IT","IT.SD","Cane"
"90","Apidae","Centridini","USA","JC","Apinae","Centris","Centris_atripes","Female",32.531318,0.052207,NA,4.0608,NA,0.0606698794145999
"91","Apidae","Ceratinini","Spain","IB","Xylocopinae","Ceratina","Ceratina_cucurbitina","Female",37.396355,0.0064,NA,1.12,NA,0.00252217054176355
"92","Apidae","Ceratinini","Switzerland","LK","Xylocopinae","Ceratina","Ceratina_cyanea","Female",47.3769,0.003244,NA,1.285,NA,0.00354113873322406
"93","Megachilidae","Osmiini","Switzerland","LK","Megachilinae","Chelostoma","Chelostoma_florisomne","Female",47.3769,0.012521,NA,1.524,NA,0.00539583189825779
"94","Megachilidae","Osmiini","Switzerland","LK","Megachilinae","Chelostoma","Chelostoma_rapunculi","Female",47.3769,0.005934,NA,1.629,NA,0.00636069510401766
"95","Colletidae","Colletini","Spain","IB","Colletinae","Colletes","Colletes_acutus","Female",37.396355,0.0151,0.00989949493661167,2.57,0.905096679918781,0.0196072237104466
"96","Colletidae","Colletini","USA","JC","Colletinae","Colletes","Colletes_inaequalis","Female",32.531318,0.040561,NA,3.307,NA,0.0365414014724874
"97","Colletidae","Colletini","Switzerland","LK","Colletinae","Colletes","Colletes_similis","Female",47.3769,0.020644,NA,2.858,NA,0.0254866918197825
"98","Melittidae","Dasypodaini","Spain","IB","Dasypodainae","Dasypoda","Dasypoda_cingulata","Female",37.396355,0.0082,0.00268700576850888,2.17,0.848528137423857,0.0129122806825051
"99","Melittidae","Dasypodaini","Spain","IB","Dasypodainae","Dasypoda","Dasypoda_crassicornis","Female",37.396355,0.01775,0.00841457069611991,2.455,0.0919238815542511,0.0175116221997168
"100","Apidae","Emphorini","USA","JC","Apinae","Diadasia","Diadasia_olivaceae","Female",32.531318,0.018564,NA,2.4189,NA,0.0168826735130133
"101","Apidae","Emphorini","USA","JC","Apinae","Diadasia","Diadasia_rinconis","Female",32.531318,0.028385,NA,2.9207,NA,0.0268895824895901
"102","Halictidae","Rophitini","USA","JC","Rophitinae","Dufourea","Dufourea_marginata","Female",32.531318,0.005821,NA,1.5332,NA,0.00547661551453652
"103","Apidae","Eucerini","Spain","IB","Apinae","Eucera","Eucera_chrysopyga","Female",37.396355,0.0288,0.00183847763108502,3.545,0.233345237791561,0.0433818118216679
"104","Colletidae","Euryglossinae","Australia","LK","Euryglossinae","Euhesma","Euhesma_euhsp1","Female",-25.7975,0.000709375,0.000280965357754412,0.853872950375,0.0689794115502753,0.00129078323854078
"105","Colletidae","Euryglossinae","Australia","LK","Euryglossinae","Euryglossa","Euryglossa_adelaidae","Female",-36.655,0.00633871,0.0015556349186104,1.815494844,0.145051444462023,0.00831256075873717
"106","Apidae","Exomalopsini","USA","JC","Apinae","Exomalopsis","Exomalopsis_solani","Female",32.531318,0.008554,NA,1.7707,NA,0.0078152885491077
"107","Apidae","Allodapini","Australia","LK","Xylocopinae","Exoneura","Exoneura_bicolor","Female",-30.0057142857143,0.00383771428571429,0.00129598477131197,1.39211042657143,0.122751765306014,0.00431514037146631
"108","Apidae","Allodapini","Australia","LK","Xylocopinae","Exoneura","Exoneura_hamulata","Female",-30.49,0.005794,0.0006308724118235,1.6244133976,0.0846321940873788,0.0063165670751686
"109","Andrenidae","Panurgini","Spain","IB","Panurginae","Flavipanurgus","Flavipanurgus_venustus","Female",37.396355,0.0093,NA,1.81,NA,0.00825057845523995
"110","Halictidae","Halictini","Switzerland","LK","Halictinae","Halictus","Halictus_maculatus","Female",47.3769,0.02185,0.000636396103067894,1.4595,0.176776695296637,0.00484938395076381
"111","Halictidae","Halictini","Germany","LK","Halictinae","Halictus","Halictus_malachurum","Female",10.0819015,0.01189,0.000565685424949238,1.51639268275,0.050204581464245,0.00532957218176206
"112","Halictidae","Halictini","Germany","LK","Halictinae","Halictus","Halictus_pauxillum","Female",10.124092,0.008496,0.00230072452356499,1.021369393,0.0140142700025358,0.00200873930672824
"113","Halictidae","Halictini","Ireland","LR","Halictinae","Halictus","Halictus_rubicundus","Female",53.31,0.003196,0.000565685424949238,2.4,0.0529828634044964,0.0165588360458501
"114","Halictidae","Halictini","Switzerland","LK","Halictinae","Halictus","Halictus_rubincundus","Female",47.3769,0.011804,NA,2.037,NA,0.0110453626331699
"115","Halictidae","Halictini","Spain","IB","Halictinae","Halictus","Halictus_scabiosae","Female",37.396355,0.0306031428571429,0.00362564886197349,2.345,0.141254993860535,0.0156375939821879
"116","Halictidae","Halictini","Germany","LK","Halictinae","Halictus","Halictus_scabiosae","Female",10.0499787857143,0.024213,0.00677783468373197,2.52600505321429,0.0995707453689754,0.0187888651509285
"117","Halictidae","Halictini","Switzerland","LK","Halictinae","Halictus","Halictus_scabiosae","Female",47.3769,0.01191184,0.00262881785345936,2.45033333333333,0.135135201219404,0.0174295466694298
"118","Halictidae","Halictini","Germany","LK","Halictinae","Halictus","Halictus_simplex","Female",10.04190636,0.0180862,0.00486931265169942,1.8058646144,0.120811009432088,0.00820411288145723
"119","Halictidae","Halictini","Switzerland","LK","Halictinae","Halictus","Halictus_simplex","Female",47.3769,0.0044,NA,2.0526,NA,0.0112553974907836
"120","Halictidae","Halictini","Germany","LK","Halictinae","Halictus","Halictus_subauratus","Female",9.755828,0.007184,0.000240416305603426,1.493668289,0.0268700576850888,0.0051345357003412
"121","Halictidae","Halictini","Switzerland","LK","Halictinae","Halictus","Halictus_subauratus","Female",47.3769,0.00534066666666667,0.0021968234643078,1.73,0.123559702168628,0.00737920987410469
"122","Halictidae","Halictini","Switzerland","LK","Halictinae","Halictus","Halictus_tumolorum","Female",47.3769,0.00401275675675676,0.000838744478551305,1.36,0.0654174292056183,0.00407353214565973
"123","Halictidae","Halictini","Germany","LK","Halictinae","Halictus","Halictus_tumulorum","Female",9.76476313513513,0.004759,0.00226981276760882,1.30913425621622,0.0820243866176394,0.00370762571684678
"124","Halictidae","Halictini","Switzerland","LK","Halictinae","Halictus","Halictus_tumulorum","Female",47.3769,0.014166667,NA,1.428,NA,0.00459504370183197
"125","Megachilidae","Osmiini","Spain","IB","Megachilinae","Heriades","Heriades_crenulatus","Female",37.396355,0.0063,NA,1.76,NA,0.00769919921904967
"126","Megachilidae","Osmiini","Switzerland","LK","Megachilinae","Heriades","Heriades_truncorum","Female",47.3769,0.00472733333333333,0.000370720020140986,1.528,0.136890467162619,0.00543086744917807
"127","Melittidae","Hesperapini","USA","JC","Dasypodainae","Hesperapis","Hesperapis_carinata","Female",32.531318,0.014588,NA,2.7399,NA,0.0229647122204689
"128","Halictidae","Halictini","Australia","LK","Halictinae","Homalictus","Homalictus_homsp1","Female",-27.19,0.001384,0.000353553390593274,1.3124873075,0.0642742930901264,0.00373111702529729
"129","Halictidae","Halictini","Australia","LK","Halictinae","Homalictus","Homalictus_sphecodoides","Female",-30.025,0.004431,0.001662571903207,1.49443600475,0.20157308693135,0.00514105423673182
"130","Halictidae","Halictini","Australia","LK","Halictinae","Homalictus","Homalictus_urbanus","Female",-26.152654028436,0.000972379146919431,0.000564972319879253,0.954866993350711,0.0662495711248413,0.00170108963265014
"131","Megachilidae","Osmiini","Spain","IB","Megachilinae","Hoplitis","Hoplitis_adunca","Female",37.396355,0.0105,NA,2.23,NA,0.0138117836389416
"132","Colletidae","Halictina","Germany","LK","Hylaeinae","Hylaeus","Hylaeus_angustatus","Female",10.0767166666667,0.005284,NA,0.967117461,NA,0.00175548443102112
"133","Colletidae","Halictina","Germany","LK","Hylaeinae","Hylaeus","Hylaeus_communis","Female",10.045785,0.00266266666666667,0.000814452781524708,1.04573158133333,0.0289139970020899,0.00212912276862398
"134","Colletidae","Halictina","Ireland","LR","Hylaeinae","Hylaeus","Hylaeus_communis","Female",53.31,0.00312933333333333,0.000503322295684717,1.6,0.10980532885887,0.00608475194717811
"135","Colletidae","Halictina","Switzerland","LK","Hylaeinae","Hylaeus","Hylaeus_cornutus","Female",47.3769,0.009394,NA,1.224,NA,0.00314044598394196
"136","Colletidae","Halictina","Germany","LK","Hylaeinae","Hylaeus","Hylaeus_dilatatus","Female",10.086428,0.005596,NA,1.231416496,NA,0.00318763901265381
"137","Colletidae","Halictina","Australia","LK","Hylaeinae","Hylaeus","Hylaeus_kelvini","Female",-30.02,0.008534,NA,1.924817605,NA,0.00960365492175229
