,Superfamily,Tag,Region,Country,Measurer,Locality,Location,Latitude,Longitude,Pres.time,Col.date,Plant,Col.method,Family,Subfamily,Tribe,Genus,Subgenus,Species,Sex,Weight,Pin.wgt,Spec.wgt,IT,IT_cor,BL,Bl_cor
51,Syrphoidea,ALLO-AUS-135,Australasia,Australia,LK,COFFS,COFFSKelly Potts,-30.14,153.19,0,26/05/2017,Westringia,Hand,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Male,0.0436,0.038672,0.004928,3.982,2.445636153,15.463,9.496954254
52,Syrphoidea,ALLO-AUS-136,Australasia,Australia,LK,COFFS,COFFSKelly Potts,-30.14,153.19,0,25/05/2017,Westringia,Hand,Syrphidae,Syrphinae,Syrphini,Syrphini,NA,Syrphini_syrsp4,Female,0.0394,0.038672,0.000728,1.942,1.192723609,9.618,5.907114144
53,Syrphoidea,ALLO-AUS-137,Australasia,Australia,LK,COFFS,COFFSSherwood,-30.04,153.15,0,26/05/2017,NA,Vane,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Female,0.0427,0.038672,0.004028,3.826,2.349825194,14.883,9.140734021
54,Syrphoidea,ALLO-AUS-138,Australasia,Australia,LK,COFFS,COFFSSherwood,-30.04,153.15,0,26/05/2017,NA,Vane,Syrphidae,Syrphinae,Syrphini,Syrphini,NA,Syrphini_syrsp4,Male,0.0401,0.038672,0.001428,1.981,1.216676348,10.305,6.329050869
55,Syrphoidea,ALLO-AUS-155,Australasia,Australia,LK,COFFS,COFFSroadside weeds,-30,153.15,0,5/05/2017,Bidens pilosa,Hand,Syrphidae,Syrphinae,Syrphini,Syrphini,NA,Syrphini_syrsp4,Female,0.0687,0.067166,0.001534,1.71,1.050235515,9.809,6.024421152
56,Syrphoidea,ALLO-AUS-156,Australasia,Australia,LK,COFFS,COFFSroadside weeds,-30,153.15,0,8/05/2017,Bidens pilosa,Hand,Syrphidae,Syrphinae,Syrphini,Syrphini,NA,Syrphini_syrsp4,Female,0.0691,0.067166,0.001934,2.138,1.313101481,10.506,6.452499605
57,Syrphoidea,ALLO-AUS-160,Australasia,Australia,LK,COFFS,COFFSCamellia,-30,153.15,0,8/05/2017,Camellia,Hand,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Female,0.073,0.067166,0.005834,3.357,2.061778143,14.012,8.605789498
58,Syrphoidea,ALLO-AUS-163,Australasia,Australia,LK,COFFS,COFFSCamellia,-30,153.15,0,9/05/2017,Camellia,Hand,Syrphidae,Syrphinae,Syrphini,Syrphini,NA,Syrphini_syrsp4,Female,0.0688,0.067166,0.001634,1.695,1.041022923,9.503,5.83648427
59,Syrphoidea,ALLO-AUS-166,Australasia,Australia,LK,COFFS,COFFSCamellia,-30,153.15,0,9/05/2017,Camellia,Hand,Syrphidae,Syrphinae,Syrphini,Syrphini,NA,Syrphini_syrsp4,Female,0.0689,0.067166,0.001734,2.256,1.385573873,10.235,6.286058772
60,Syrphoidea,ALLO-AUS-178,Australasia,Australia,LK,COFFS,COFFSCamellia,-30,153.15,0,9/05/2017,Camellia,Hand,Syrphidae,Syrphinae,Syrphini,Syrphini,NA,Syrphini_syrsp4,Male,0.069,0.067166,0.001834,1.624,0.997416653,10.373,6.37081462
