Country,Family,Subfamily,Tribe,Species
Germany,Megachilidae,Megachilinae,Osmiini,Osmia_rapunculi
Germany,Megachilidae,Megachilinae,Osmiini,Osmia_adunca
Germany,Megachilidae,Megachilinae,Osmiini,Osmia_bicolor
Germany,Megachilidae,Megachilinae,Osmiini,Osmia_bicornis
Switzerland,Megachilidae,Megachilinae,Osmiini,Osmia_bicornis
Spain,Megachilidae,Megachilinae,Osmiini,Osmia_bicornis
Switzerland,Megachilidae,Megachilinae,Osmiini,Osmia_caerulescens
Germany,Megachilidae,Megachilinae,Osmiini,Osmia_florisomnis
Germany,Megachilidae,Megachilinae,Osmiini,Osmia_gallarum
Germany,Megachilidae,Megachilinae,Osmiini,Osmia_lagopus
Germany,Megachilidae,Megachilinae,Osmiini,Osmia_leaiana
Germany,Megachilidae,Megachilinae,Osmiini,Osmia_niveata
Germany,Megachilidae,Megachilinae,Osmiini,Osmia_spinulosa
Spain,Megachilidae,Megachilinae,Osmiini,Osmia_submicans
Germany,Megachilidae,Megachilinae,Osmiini,Osmia_truncorum
Spain,Megachilidae,Megachilinae,Anthidini,Pseudoanthidium_melanorum
Spain,Megachilidae,Megachilinae,Anthidini,Xylocopa_sticticum
Spain,Melittidae,Dasypodainae,Dasypodaini,Dasypoda_cingulata
Spain,Melittidae,Dasypodainae,Dasypodaini,Dasypoda_crassicornis
Switzerland,Melittidae,Melittinae,Macropidini ,Macropis_europaea
Switzerland,Melittinae,Melittinae,Melittini ,Melitta_nigricans
