Genus	Family	"Geographic region (0=absent, 1=present)"							
		Africa	Central America	Eastern Paleoartic	North America	Oceania	South America	Western Paleoartic	
Xenochilicola	Colletidae	0	0	0	0	0	1	0	
Xeromelissa	Colletidae	0	0	0	0	0	1	0	
Zikanapis	Colletidae	0	1	0	1	0	1	0	
Agapostemon	Halictidae	0	1	0	1	0	1	0	
Augochlora	Halictidae	0	1	0	1	0	1	0	
Augochlorella	Halictidae	0	1	0	1	0	1	0	
Augochloropsis	Halictidae	0	1	0	1	0	1	0	
Caenohalictus	Halictidae	0	1	0	0	0	1	0	
Cellariella	Halictidae	1	0	0	0	0	0	0	
Conanthalictus	Halictidae	0	0	0	1	0	0	0	
Corynura	Halictidae	0	0	0	0	0	1	0	
Curvinomia	Halictidae	0	0	0	1	0	0	0	
Dieunomia	Halictidae	0	1	0	1	0	0	0	
Dinagapostemon	Halictidae	0	1	0	1	0	1	0	
Dufourea	Halictidae	0	0	1	1	0	0	1	
Eupetersia	Halictidae	1	0	0	0	0	0	0	
Goeletapis	Halictidae	0	0	0	0	0	1	0	
Habralictus	Halictidae	0	1	0	0	0	1	0	
Halictus	Halictidae	1	1	1	1	1	0	1	
Homalictus	Halictidae	0	0	0	0	1	0	0	
Hoplonomia	Halictidae	0	0	1	0	1	0	0	
Lasioglossum	Halictidae	1	1	1	1	1	0	1	
Lipotriches	Halictidae	1	0	1	0	1	0	0	
Macronomia	Halictidae	1	0	0	0	0	0	0	
Megalopta	Halictidae	0	1	0	0	0	1	0	
Megaloptidia	Halictidae	0	0	0	0	0	1	0	
Megommation	Halictidae	0	0	0	0	0	1	0	
Mexalictus	Halictidae	0	1	0	1	0	0	0	
Neocorynura	Halictidae	0	0	0	1	0	1	0	
Nomia	Halictidae	1	0	1	1	1	0	1	
Nomioides	Halictidae	1	0	1	0	0	0	1	
Parathrincostoma	Halictidae	1	0	0	0	0	0	0	
Patellapis	Halictidae	1	0	1	0	1	0	0	
Penapis	Halictidae	0	0	0	0	0	1	0	
Protodufourea	Halictidae	0	0	0	1	0	0	0	
Pseudagapostemon	Halictidae	0	0	0	0	0	1	0	
Pseudapis	Halictidae	1	0	1	0	0	0	1	
Rhinetula	Halictidae	0	1	0	0	0	1	0	
Rophites	Halictidae	0	0	1	0	0	0	1	
Ruizantheda	Halictidae	0	0	0	0	0	1	0	
Sphecodes	Halictidae	1	1	1	1	1	0	1	
Sphecodosoma	Halictidae	0	0	0	1	0	0	0	
Systropha	Halictidae	1	0	1	0	0	0	1	
Thrinchostoma	Halictidae	1	0	1	0	0	0	0	
Thrincohalictus	Halictidae	0	0	1	0	0	0	1	
Xenochlora	Halictidae	0	0	0	0	0	1	0	
Xeralictus	Halictidae	0	0	0	1	0	0	0	
Afranthidium	Megachilidae	1	0	1	0	0	0	1	
Afroheriades	Megachilidae	1	0	0	0	0	0	0	
Aglaoapis	Megachilidae	1	0	1	0	0	0	1	
Anthidiellum	Megachilidae	1	1	1	1	1	1	1	
Anthidium	Megachilidae	1	1	1	1	0	1	1	
Anthodioctes	Megachilidae	0	0	0	0	0	1	0	
Ashmeadiella	Megachilidae	0	1	0	1	0	0	0	
Aspidosmia	Megachilidae	1	0	0	0	0	0	0	
Atoposmia	Megachilidae	0	1	0	1	0	0	0	
Bathanthidium	Megachilidae	0	0	1	0	0	0	0	
Benanthis	Megachilidae	1	0	0	0	0	0	0	
Chelostoma	Megachilidae	0	0	1	1	0	0	1	
Coelioxys	Megachilidae	1	1	1	1	1	1	1	
Dianthidium	Megachilidae	0	1	0	1	0	0	0	
Dioxys	Megachilidae	0	0	1	1	0	0	1	
Duckeanthidium	Megachilidae	0	1	0	0	0	1	0	
Eoanthidium	Megachilidae	1	0	1	0	0	0	1	
Epanthidium	Megachilidae	0	0	0	0	0	1	0	
Fidelia	Megachilidae	1	0	0	0	0	0	1	
Fideliopsis	Megachilidae	1	0	0	0	0	0	0	
Haetosmia	Megachilidae	0	0	1	0	0	0	1	
Heriades	Megachilidae	1	1	1	1	1	0	1	
Hofferia	Megachilidae	0	0	0	0	0	0	1	
Hoplitis	Megachilidae	0	0	1	1	0	0	1	
Hoplosmia	Megachilidae	1	0	0	0	0	0	1	
Hypanthidioides	Megachilidae	0	0	0	0	0	1	0	
Hypanthidium	Megachilidae	0	1	0	0	0	1	0	
Icteranthidium	Megachilidae	1	0	1	0	0	0	1	
Lithurgus	Megachilidae	1	1	1	1	1	1	1	
Megachile	Megachilidae	1	1	1	1	1	1	1	
Microthurge	Megachilidae	0	0	0	0	0	1	0	
Neofidelia	Megachilidae	0	0	0	0	0	1	0	
Notanthidium	Megachilidae	0	0	0	0	0	1	0	
Noteriades	Megachilidae	1	0	1	0	0	0	0	
Ochreriades	Megachilidae	1	0	0	0	0	0	1	
Osmia	Megachilidae	0	1	1	1	0	0	1	
Othinosmia	Megachilidae	1	0	0	0	0	0	0	
Pachyanthidium	Megachilidae	1	0	1	0	0	0	0	
Paradioxys	Megachilidae	0	0	0	0	0	0	1	
Paranthidium	Megachilidae	0	1	0	1	0	0	0	
Pararhophites	Megachilidae	0	0	1	0	0	0	1	
Protosmia	Megachilidae	0	1	1	1	0	0	1	
Pseudoanthidium	Megachilidae	1	0	1	0	0	0	1	
Pseudoheriades	Megachilidae	1	0	1	0	0	0	1	
Radoszkowskiana	Megachilidae	0	0	1	0	0	0	1	
Rhodanthidium	Megachilidae	0	0	1	0	0	0	1	
Serapista	Megachilidae	1	0	0	0	0	0	0	
Stelis	Megachilidae	0	1	1	1	0	0	1	
Stenoheriades	Megachilidae	1	0	0	0	0	0	1	
Stenosmia	Megachilidae	1	0	0	0	0	0	1	
Trachusa	Megachilidae	1	1	1	1	0	0	1	
Trichothurgus	Megachilidae	0	0	0	0	0	1	0	
Wainia	Megachilidae	1	0	0	0	0	0	1	
Capicola	Melittidae	1	0	0	0	0	0	0	
Dasypoda	Melittidae	0	0	1	0	0	0	1	
Eremaphanta	Melittidae	0	0	1	0	0	0	0	
Habropoda	Melittidae	0	1	1	1	0	0	1	
Hesperapis	Melittidae	0	0	0	1	0	0	0	
Macropis	Melittidae	0	0	1	1	0	0	1	
Meganomia	Melittidae	1	0	0	0	0	0	0	
Melitta	Melittidae	1	0	1	1	0	0	1	
Promelitta	Melittidae	1	0	0	0	0	0	0	
Rediviva	Melittidae	1	0	0	0	0	0	0	
Redivivoides	Melittidae	1	0	0	0	0	0	0	
Samba	Melittidae	1	0	0	0	0	0	0	
Ctenocolletes	Stenotritidae	0	0	0	0	1	0	0	
Stenotritus	Stenotritidae	0	0	0	0	1	0	0	
0=absent; 1=present									
